"text","label","notes"
"Tarkovsky's use of water in Stalker is doing more than atmosphere — it's a recurring symbol of transition between states of consciousness. Every major threshold in the Zone is marked by water: the characters wade through it to enter, they rest beside it at turning points, and the final image returns to it. Water in Orthodox iconography represents purification and passage, and Tarkovsky was deeply embedded in that tradition. The symbolism isn't decorative; it's structural.","analysis",""
"What makes the editing in Mad Max: Fury Road formally interesting is how it violates the 180-degree rule deliberately and systematically rather than accidentally. Miller establishes eyelines and then crosses them during action beats to create spatial disorientation that mirrors the characters' psychological states. It shouldn't work by classical Hollywood grammar, but it does because the cuts are always motivated by sound — the edit happens on a crash or a roar, so your brain processes the break as percussive rather than confusing.","analysis",""
"Parasite's vertical architecture is doing class critique that the dialogue never has to state directly. The Parks live at the top of a hill in a house built upward; the Kims live in a semi-basement where the only window looks up at street-level feet. The metaphor is explicit but Bong never lets it become a lecture — the geometry of the spaces just is the class relationship, and every scene reinforces it spatially.","analysis",""
"The reason Jeanne Dielman works as a feminist text isn't just subject matter — it's duration. Akerman's insistence on showing every domestic task in real time refuses the editing convention that compresses women's labor into montage. By making the audience sit through the full length of peeling potatoes and making the bed, she forces an acknowledgment that this work takes time and therefore has value. The formal choice is the argument.","analysis",""
"Chinatown is structurally a tragedy in the classical sense: Gittes's fatal flaw is competence. He's too good at his job. Every time he uncovers the truth, he accelerates the catastrophe. The screenplay understands that noir isn't about mystery — it's about the futility of knowledge. Knowing doesn't help; knowing makes it worse. The ending is devastating precisely because Gittes did everything right.","analysis",""
"Lynch's sound design in Eraserhead is more important than the visuals in creating dread. The film runs on a constant low industrial hum that never resolves — it never builds to a climax or drops away for relief. That sustained ambient pressure prevents any scene from feeling safe, which is exactly the experience of new parenthood the film is dramatizing. The sound is the anxiety made audible.","analysis",""
"Barry Lyndon's use of natural candlelight isn't just a technical achievement — it changes the film's relationship to history. Every interior scene lit only by candles produces a warmth and softness that makes the 18th century feel tactile and real rather than theatrical. But that beauty is at war with the film's content: the same warm light falls on scenes of cruelty, social humiliation, and cold calculation. Kubrick uses aesthetic pleasure to implicate the viewer.","analysis",""
"The narrative structure of Rashomon is formally doing something specific about epistemology, not just 'everyone lies.' Each witness account is internally consistent and each one would be satisfying if presented alone as the true version. Kurosawa isn't saying truth is relative — he's demonstrating that the human need for narrative coherence is so strong that people will construct a complete story from incomplete information, even when that story serves their ego. The point is about storytelling itself.","analysis",""
"Agnès Varda's approach to documentary in The Gleaners and I is self-reflexive in a way that actually serves the subject. She films herself aging, films the battery light on her camera dying, films herself filming — the foregrounding of the camera as a tool of gathering makes her one of the gleaners she's documenting. The form and subject collapse into each other. This is not a gimmick; it's the only honest way to make this film.","analysis",""
"Spielberg uses rack focus in Schindler's List to separate Schindler from the crowd visually in a way that has a precise moral meaning: he is always in focus when the Jewish workers are blurred, and vice versa, until the film's emotional turn when both are in focus simultaneously for the first time. It's a subtle formal cue for where moral attention is located in any given scene.","analysis",""
"The long take in Werckmeister Harmonies where the townspeople enter the whale is formally remarkable because Tarr refuses to cut to reaction shots. We follow the characters into the space and then simply observe alongside them. The absence of the reaction shot — the conventional grammar of 'here is how you should feel' — forces the viewer to generate their own response. The technique is simultaneously Brechtian and deeply empathetic.","analysis",""
"Neon Genesis Evangelion works as psychological horror because it uses the conventions of mecha anime — the genre of empowerment fantasies — and systematically strips them of their comfort. The EVA units should be heroic machines; instead they are revealed to be biological, screaming, and bound. Every trope the genre promises is delivered and then immediately shown to be a lie. The critique is only possible from inside the genre it's destroying.","analysis",""
"The color red in Three Colors: Red appears only in scenes involving fate or destiny — Carmen's jacket, the telephone cords, the judge's dog — and is almost entirely absent in scenes of ordinary daily life. Kieslowski uses color not symbolically in the blunt sense (red = passion) but structurally, as a marker of moments when the film's hidden theme of interconnection surfaces. You could map his color choices and reconstruct the film's argument from them alone.","analysis",""
"What makes the dialogue in Before Sunrise work isn't naturalism — it's actually quite literary. Linklater and the co-writers give Jesse and Celine speeches that real people on a first meeting would never deliver with that precision. But the film earns this because both characters are established as people who have thought carefully about these ideas and are performing a version of themselves they want the other person to see. The eloquence is character, not a script failure.","analysis",""
"2001's final sequence abandons narrative logic because the film is arguing that human consciousness cannot comprehend what it is approaching. Kubrick literally runs out of the representational tools cinema has — linear time, causal space, recognizable human experience — and replaces them with pure color and form. The decision to not explain is the explanation. The film would be worse, not better, with a coherent ending.","analysis",""
"The shower scene in Psycho is usually taught as a lesson in editing rhythm, but what's less discussed is how Hitchcock spends the first forty minutes of the film building Marion Crane as a fully realized protagonist specifically so her death destroys the viewer's sense of narrative orientation. We don't just lose a character; we lose the organizing principle of the film. The formal shock depends entirely on the prior investment.","analysis",""
"Moonlight's triptych structure works because each section uses a different visual grammar. The first section is fluid and handheld, close to Chiron's body; the second is more rigid and institutional, reflecting the violence of his environment; the third is composed and still, reflecting his adult armor. Laxton's cinematography isn't just style — it's tracking a psychological history.","analysis",""
"The reason Portrait of a Lady on Fire feels formally different from most period films is that Sciamma refuses the conventional visual grammar of the male gaze. There are no slow pans across the female body for the viewer's pleasure — every time Marianne paints Héloïse, the camera is interested in Marianne's looking rather than in the object of the gaze. The film is about the experience of sustained attention, not its product.","analysis",""
"Apocalypse Now's structural collapse in the third act is not a failure of the screenplay — it's the point. The film progressively abandons narrative coherence as Willard moves deeper into Kurtz's territory, and this formal disintegration mirrors the breakdown of the military and moral frameworks the journey was supposed to enforce. Coppola is formally enacting the argument that the logic of the mission always leads here.","analysis",""
"The use of ellipsis in Yi Yi — specifically what Yanng-Yang's photographs reveal about what the film doesn't show — is central to Edward Yang's method. Adults in the film are consistently unable to see what is happening around them; Yang-Yang photographs the backs of people's heads to show them what they cannot see. The motif is not metaphor; it is a literal staging of the film's theme about the limits of self-knowledge.","analysis",""
"Drive's violence is shocking specifically because of its tonal contrast with the film's first hour. Refn spends sixty minutes building a movie that looks and feels like a 1980s romantic thriller — slow dissolves, synth score, idealized compositions — and then introduces violence with a sudden physical specificity that those conventions have no language for. The genre expectation is weaponized against the viewer.","analysis",""
"In Certified Copy, Kiarostami never resolves whether the couple were strangers who began playing a role or a long-married couple who were strangers at the start. But the film's argument doesn't depend on resolving it: Kiarostami is interested in how identity in relationships is always a performance, always a copy that generates its own original. The ambiguity isn't a puzzle to solve; it's the film's actual position.","analysis",""
"The opening twenty minutes of There Will Be Blood establishes Plainview entirely through behavior and silence — no backstory, no exposition, no interiority explained. Anderson trusts that watching someone work for twenty minutes without dialogue tells us everything we need to know about who they are. It's a formal bet on behavior over explanation, and Day-Lewis's performance is precise enough that it pays off.","analysis",""
"Tokyo Story uses the tatami shot — low camera, static composition — not for stylistic consistency but for specific moral weight. The low angle forces the viewer to observe the family from within the same plane, rather than from above. You cannot have the detachment that elevation provides. Ozu literally positions the viewer inside the domestic space where the emotional events occur, making observation feel like participation.","analysis",""
"Eternal Sunshine's non-linear structure isn't just formally clever — it's doing something specific about memory. The scenes aren't scrambled randomly; they're ordered in reverse psychological chronology, moving from recent surface memories to formative deep ones as the erasure progresses. The structure enacts the film's argument that what we remember last is what mattered first. The form is the thesis.","analysis",""
"The silent sequences in The Artist work because Hazanavicius understands that silent film was never truly silent — it was a medium built around musical and visual rhythm, not the absence of sound. The scenes that fail are the ones that treat silence as absence; the scenes that work are the ones built as silent films were originally made, with intertitles as punctuation and physical performance as the primary carrier of meaning.","analysis",""
"What Certified Copy, Past Lives, and Before Sunset share formally is the use of the long take during conversation to refuse the manipulation of shot-reverse-shot editing. When two faces occupy the same frame for five minutes of dialogue, the viewer cannot be directed by cuts toward one emotional response or another — you have to generate your own reading of the dynamic. The form produces genuine ambiguity that editing would destroy.","analysis",""
"The pacing in Jeanne Dielman is often described as slow, but that's the wrong frame. The film is precisely paced — it runs on the schedule of the tasks being performed. When the schedule breaks down in the third day, the timing of the film itself begins to shift: actions start earlier or later than expected, scenes end before their natural completion. The film's rhythm is the character, and its disruption is the drama.","analysis",""
"Bicycle Thieves works as neorealism not because of its formal roughness but because De Sica makes the economic system visible as a character. The bike is a prop, a job requirement, and an entire class position — losing it isn't just bad luck, it's the precise mechanism by which poverty reproduces itself. The script is built to make that mechanism legible without ever stating it as a theme.","analysis",""
"Carol's use of glass and reflection throughout — car windows, cafe glass, mirrors, rain-streaked windshields — does two things at once: it creates the sense of Therese observing her life from outside rather than living it, and it creates legal cover for gazes that would have been explicitly surveilled in 1952. The film's formal choices are historically specific. The glass is closet.","analysis",""
"What separates In the Mood for Love from mere nostalgia is Wong's understanding that the film must deny the viewer exactly what it keeps promising. The central relationship is never consummated on screen; every slow-motion corridor scene is ache without release. The formal strategy — show approach, withhold arrival — creates a longing in the viewer that is the emotional equivalent of the characters' situation. You feel what they feel through deprivation.","analysis",""
"The reason the final shot of The 400 Blows still works after sixty years is that Truffaut holds the freeze frame long enough to become uncomfortable. It starts as formal flourish — the unexpected ending — and then keeps going until it becomes accusatory. You are being made to look at this child. The duration transforms a cinematic quote into a moral demand.","analysis",""
"Alfonso Cuarón's use of continuous long takes in Children of Men isn't merely technical showmanship — each unbroken shot forces the viewer into the phenomenological time of the action. You cannot escape into an edit; you cannot be given a moment's rest by a cut to something else. The siege sequences work as horror partly because the camera is trapped in them alongside the characters.","analysis",""
"Pan's Labyrinth argues its theme through visual contrast rather than statement: every scene in the real world is desaturated, cold, geometric; every scene in Ofelia's fantasy world is warm, organic, saturated with color. del Toro is not saying the fantasy world is better — the monsters there are as dangerous as the fascists here — but that color itself represents interiority and the capacity for imagination that the regime is trying to exterminate.","analysis",""
"The documentary elements in United 93 — real air traffic controllers playing themselves, real-time parallel editing between the hijacking and the FAA response — are not simply verisimilitude techniques. Greengrass is making an argument about institutional failure: the bureaucratic procedures that the FAA and military run through with tragic competence while the passengers are improvising survival. The parallel structure is the critique.","analysis",""
"Bergman's use of direct address in Persona — characters looking directly into the camera at key moments — breaks the fourth wall at exactly the points where identity is most unstable. The look implicates the viewer in the film's question about whether the self is coherent or a performance. It's not a Brechtian alienation effect; it's a recruitment into the film's anxiety.","analysis",""
"The musical choices in Beau Travail — specifically the use of Rhythm of the Night during the final sequence — work as irony only if you've earned it. Denis has spent the entire film in a register of repression so total that the explosion of that dance is either catharsis or delusion, and she refuses to specify which. The pop song is maximally readable and maximally ambiguous simultaneously.","analysis",""
"What Kubrick does with Vietnam in Full Metal Jacket is formally cleaner than Apocalypse Now and more dishonest: he separates the film into two halves so the critique of military training never has to encounter the actual war. The boot camp sequences are brilliant self-contained cinema; the Vietnam half is more conventional. The formal partition lets Kubrick be devastating about institutions without taking a position on what those institutions actually produced.","analysis",""
"The ending of Mulholland Drive makes the first two hours more coherent, not less, if you read the film backward from the blue box. What felt like a mystery becomes recognizable as fantasy: Diane has constructed an elaborate wish-fulfillment narrative in which she is talented, desired, heroic, and not responsible for what she did. The film is a psychological structure, not a puzzle.","analysis",""
"Terrence Malick's voiceover is often criticized as pretentious, but the criticism misses what it's doing formally. The voiceover in The Thin Red Line is not narration — it never tells us what happens or why. It runs orthogonally to the action, asking questions the images don't answer. The form is anti-Aristotelian: Malick refuses to let meaning locate itself in event, only in the space between event and contemplation.","analysis",""
"The claustrophobia in Das Boot is architecturally produced. Petersen built the submarine interior to actual dimensions and then filmed it with lenses that compress space further. The physical constraints on the camera — where it could be placed, how far it could be from a face — mean that the film's visual grammar was determined by the set's geometry rather than by conventional choices. The form is material.","analysis",""
"Marriage Story uses each of its two musical numbers — both characters singing alone, in their respective apartments — to reveal what the marriage needed and couldn't contain. Charlie sings about being alive; Nicole sings about not being afraid anymore. The numbers aren't nostalgia; they're each character finally saying what they wanted from the relationship, but only after it's over and they're alone.","analysis",""
"The opening tracking shot of Touch of Evil is famous but its function is more specific than people usually note. It establishes the bomb's presence and then forces the viewer to forget about it through the crowded, engaging street life. When the car explodes, the viewer has failed the same test the characters failed — we were distracted by the spectacle and ignored the danger we knew was there. Welles implicates us.","analysis",""
"Shoplifters works as a critique of biological family precisely because Kore-eda refuses to romanticize the chosen family he depicts. They steal, they lie, they make decisions that harm each other. The film doesn't argue chosen families are better — it argues that what constitutes a family is a question of behavior and care, not genetics, and that the answer is always complicated and never pure.","analysis",""
"The narrative ellipses in Scenes from a Marriage — what Bergman leaves out of the six-episode version — are as important as what's included. We see the crisis; we skip the aftermath; we rejoin years later. The elision of ordinary life between crises is itself an argument about how memory works in long relationships: what persists is intensity, not duration.","analysis",""
"Caché's anxiety depends on Haneke refusing to reveal who is sending the tapes. Most thrillers use this as a mystery to be solved; Haneke uses it to make the guilty conscience itself the subject. Georges behaves as if he knows who it is, which means he knows what he did, which means the film's true subject is not the threat but the buried history that makes the threat legible to him alone.","analysis",""
"The ending of Cache is a single wide shot of a school steps held for ninety seconds with no score, no close-ups, no guidance. Haneke hides two characters meeting in the background of what appears to be a static establishing shot. The formal decision — burying the significant event in the frame's margin — is the film's argument in miniature: what we refuse to look at directly is what we are most responsible for.","analysis",""
"Dardenne brothers' use of handheld cameras that follow characters from behind rather than in front is a specific ethical choice: the camera doesn't know where the characters are going because it can't see their faces, can't read their intentions. Rosetta and The Son both use this grammar to place the viewer in the position of witnessing behavior from the outside rather than accessing psychology from within.","analysis",""
"The sound design in No Country for Old Men is built on strategic silence. Chigurh makes almost no sound when he moves; scenes that should have ambient noise are stripped clean. The Coens use this to create dread from absence rather than presence — the threat is not signaled by the conventional grammar of horror scoring but by the removal of the environmental sounds that usually tell you things are normal.","analysis",""
"What makes Kelly Reichardt's work formally distinctive is her relationship to incident. In Wendy and Lucy, the narrative events are small (a dog gets lost) but the formal attention given to their aftermath is identical to what Hollywood grammar reserves for major turning points. The mismatch between scale of event and scale of attention is Reichardt's argument: these small things are not small to the people they happen to.","analysis",""
"The final sequence of Come and See puts Flyora in front of a photograph of Hitler and the film cuts between his face and the photographs moving backward through history — Hitler as a child, as an infant, in his mother's arms. Klimov is asking whether the viewer wants to shoot the child. Most viewers do want to. The sequence is an argument about the moral limits of historical retrospection and the seductiveness of counterfactual revenge.","analysis",""
"Kiarostami's Close-Up collapses the boundary between documentary and fiction by casting the real participants of the original incident as themselves, reconstructing events that actually occurred. The film's subject — imposture, identity, the desire to be an artist — is enacted by the film's own formal strategy. The film is doing what it is about.","analysis",""
"The montage sequences in The Godfather Part II that cut between Vito in 1917 and Michael in 1958 are not parallel structure for contrast — they are the same story. Both men make the same choices in the same situations for the same reasons. The editing argues that Michael has not corrupted something pure but has continued something that was always corrupt. The myth of the good Corleone is built into the film only to be dismantled by it.","analysis",""
"In The Master, Anderson refuses to give us Freddie's interior life directly — we only see behavior, and the behavior is contradictory. This is formally the right choice: a film about the appeal of totalizing belief systems should not explain why someone is susceptible to them, because the explanation is never adequate to the reality. Freddie's incomprehensibility is the point.","analysis",""
"Gravity's single-take opening establishes the film's visual argument: in space, there is no ground, no up, no anchor. The camera rotates freely, the characters' bodies reorient relative to the frame, the horizon disappears. Cuarón uses this not as spectacle but as a formal preparation for the film's psychological stakes — what Sandra Bullock's character needs to find is not physical ground but psychological orientation.","analysis",""
"The ending of The Seventh Seal — the silhouette of Death leading the characters in a dance along the ridge — is often read as bleak. But Bergman shows Jof watching the dance from a hillside in full sunlight, and Jof doesn't recognize his companions in it. The artist survives by not recognizing death when it comes for others. The ambiguity of whether this is consolation or irony is the film's final and most honest move.","analysis",""
"Aronofsky's use of the hip-hop montage — tight close-ups of hands and faces and objects cut to rhythmic sound design — reduces characters to mechanisms. In Requiem for a Dream, the grammar of efficiency is applied to addiction rituals until the human beings performing them are visually indistinguishable from their compulsions. The editing style is the dehumanization the film is describing.","analysis",""
"The reason Eyes Wide Shut feels unresolved is that Kubrick died before post-production finished, but the unresolution is also formally appropriate to the material. The film is about a night of potential transgression followed by a return to domestic order — but the return is uneasy, provisional, acknowledged as a performance. An ending that ties everything up would contradict the film's argument about the precariousness of bourgeois stability.","analysis",""
"Hiroshima Mon Amour is formally a film about the impossibility of testimony. The woman tries to speak about Hiroshima and the man, who was there, says 'You have seen nothing.' Resnais cuts between her claims and archival footage of the actual destruction. The montage doesn't confirm or deny her account — it holds the question of what it means to bear witness to someone else's catastrophe open without resolving it.","analysis",""
"Cleo from 5 to 7 runs in near-real time and the formal decision has a specific function: we share the two hours with Cleo, which means we share the waiting. Varda doesn't compress the time between the doctor's office and the results because the film is about what happens to consciousness during that waiting — how Cleo sees Paris, how Paris sees her, how one afternoon can be a whole film.","analysis",""
"The rape scene in Irreversible is formally distinct from how sexual violence is usually filmed because Noé holds the single static wide shot for nine minutes. There are no cuts, no close-ups, no musical score. The formal decision refuses the conventional grammar of trauma representation — no fragmenting edits, no subjective camera — which means the viewer cannot be given the technical means of looking away. This is an ethical choice that critics should engage with rather than simply find unwatchable.","analysis",""
"The cast of non-professional actors in Pasolini's The Gospel According to Matthew is not simply a neorealist convention — it's an argument about how divinity should look. Pasolini was a Marxist atheist who believed Christ's story was fundamentally a story of the poor and the dispossessed, and casting untrained faces from southern Italian farming communities makes that argument visible on screen without a word of dialogue.","analysis",""
"In Yi Yi, the subplot of the eight-year-old photographing the backs of people's heads escalates from charming quirk to the film's central metaphor when we see the photo of the grandmother — the only person in the film who genuinely cannot see her own back, because she is in a coma. Yang-Yang is documenting the gap between how people see themselves and how they appear to others. The child understands what the adults cannot articulate.","analysis",""
"The structural decision in Memento to run the color sequences in reverse while the black-and-white sequences run forward creates two competing temporalities that eventually resolve into a single narrative — but the resolution reveals that Leonard's entire project of revenge is built on a lie he constructed himself. Nolan's form produces the exact same experience in the viewer that it is diagnosing in the protagonist: we believe our own constructed narrative until we can't.","analysis",""
"The Conformist's cinematography by Vittorio Storaro uses fascist architecture as a psychological mirror. The wide empty corridors, the oppressive geometry, the oblique light sources from single high windows — these are not just period recreation. Bertolucci and Storaro are arguing that Marcello's psychological rigidity and the fascist aesthetic are the same structure. The political is made visible through the visual.","analysis",""
"The extended suicide attempt staging in The Virgin Suicides — Lisbon's hospital bed interview — uses the detached, ironic voiceover of the adult narrators against the image of a child in crisis. The form creates a horror that the words won't name: adults who aestheticize tragedy, who treat the girls as objects of fascination rather than subjects of care. Coppola's formal choice indicts the narrators and the culture they represent.","analysis",""
"Sátántangó's seven-hour length is not an endurance test — it is the experience the film is constructing. The Hungarian village it depicts has no future and no meaningful present; time in it is not progressive but circular, repetitive, caught. Making the audience sit for seven hours in the same exhausted rhythm is the only way to produce the phenomenology of that entrapment. You cannot cut your way to that feeling.","analysis",""
"Scorsese is the most overrated director in American cinema. His films are technically impressive and completely emotionally empty. I have never cared about a single character he has put on screen. The man confuses kinetic editing and great soundtracks for actual depth and the film community has let him get away with it for fifty years.","hot_take",""
"Interstellar is a bad film. It is not a flawed great film or an ambitious failure. It is a bad film. The third act is incoherent, the dialogue is embarrassing, and the emotional manipulation is so nakedly calculated that I felt insulted watching it. The fact that people treat it as profound science fiction is a collective delusion.","hot_take",""
"The Godfather is the most overrated film ever made. It's a well-made mob movie with good performances and it does not deserve to sit at the top of every greatest films list. It is a story about criminals with good cinematography. The reverence people have for it is pure cinematic mythology.","hot_take",""
"Wes Anderson peaked at Rushmore and has been making the same increasingly hollow film ever since. The symmetry and the deadpan and the pastel palette started as a genuine formal vision and calcified into a brand. His last four films are essentially merchandise.","hot_take",""
"Lars von Trier is a fraud. He is a provocateur who has mistaken shock for profundity for his entire career. Melancholia is the only film he's made that has genuine emotional content and even there he can't help undermining it with his ego.","hot_take",""
"Three Colors: Blue is a worse film than Three Colors: Red and it's not close. Binoche's performance is great but the film has no ideas — it's just suffering aestheticized. Red is one of the greatest films ever made. Blue is a mood board.","hot_take",""
"Terrence Malick lost the plot after The Thin Red Line and has been making expensive screensavers ever since. The Tree of Life gets a pass because it has actual narrative. Everything after is just footage of people running through fields while someone whispers about God. I will not apologize for this.","hot_take",""
"Tarantino's dialogue is not as good as people think it is. It is entertaining, occasionally very funny, and mistaken for something deeper because of how confidently he delivers it. The Hateful Eight is two hours and forty minutes of people talking and none of it means anything. The dialogue is a style imitating a substance it doesn't have.","hot_take",""
"Citizen Kane is not the greatest film ever made and hasn't been for decades. It belongs in the conversation of technically important films but treating it as the ceiling of the art form is a failure of imagination. The film community needs to collectively retire this mythology.","hot_take",""
"Paul Thomas Anderson is a genuinely great director who has made exactly one masterpiece (There Will Be Blood) and several very good films that people mistake for masterpieces because they're long and serious and have great acting. The Master is not a masterpiece. It is an interesting failure.","hot_take",""
"The Lighthouse is Robert Eggers showing off and nothing else. Technically the film is impressive and I understand why people are dazzled by it. But strip away the aspect ratio and the Pattinson performance and the mythological name-dropping and there is a two-hour horror film with almost no actual ideas.","hot_take",""
"Roma is Alfonso Cuarón making a film about himself making a film about his childhood housekeeper. It is a beautifully shot act of self-congratulation. The fact that the film centers the domestic worker while centering the perspective of the wealthy family she served is not a tension the film is interested in examining.","hot_take",""
"Every Paul Verhoeven film is exactly as smart as you want it to be, which means none of them are actually smart — they're mirrors. Starship Troopers is a great satire if you want it to be and a great action film if you want that instead. That isn't intelligence; it's a filmmaker who understood his audience wanted permission to have it both ways.","hot_take",""
"Hereditary is the scariest film of the last decade by a distance. I don't think it's even close. Midsommar is a great film but it is not in Hereditary's league as horror. The attic scene alone contains more genuine dread than most horror directors have produced in their entire careers.","hot_take",""
"Every David Fincher film is technically perfect and spiritually dead. He is the greatest cinematographic craftsman working and his films have nothing to say. Se7en, Fight Club, Zodiac — stunning surfaces over complete moral and emotional emptiness. I'll take a messy film with actual feeling over Fincher's technical perfection every time.","hot_take",""
